order_id,store_lat,store_lng,customer_lat,customer_lng,one_way_km,round_trip_km
ORD117,46.410663,-63.783577,46.407226,-63.815138,2.45,4.9
ORD26,48.00758500000001,-66.676251,48.021833,-66.654686,2.255,4.509
ORD95,48.00758500000001,-66.676251,47.996371,-66.6247,4.033,8.066
ORD27,47.3561069,-68.32367300000001,47.358356,-68.317563,0.524,1.048
ORD36,47.3561069,-68.32367300000001,47.336094,-68.308393,2.505,5.011
ORD48,47.3561069,-68.32367300000001,47.354853,-68.304979,1.415,2.83
ORD81,47.3561069,-68.32367300000001,47.35689,-68.37994,4.239,8.479
ORD107,47.3561069,-68.32367300000001,47.321069,-68.312443,3.987,7.974
ORD28,46.1658127,-67.5970005,46.156043,-67.623038,2.281,4.561
ORD78,46.1658127,-67.5970005,46.153895,-67.580419,1.84,3.681
ORD104,46.1658127,-67.5970005,46.158352,-67.592585,0.897,1.793
ORD29,45.6275876,-68.580753,45.620432,-68.564208,1.513,3.026
ORD30,45.06865699999999,-64.45646599999999,45.067401,-64.463078,0.538,1.075
ORD31,46.4553394,-67.6033268,46.455895,-67.592818,0.807,1.615
ORD64,46.4553394,-67.6033268,46.469659,-67.593791,1.752,3.504
ORD32,45.1296523,-66.8327448,45.154657,-66.865296,3.775,7.549
ORD33,46.098381,-64.75831699999999,46.105458,-64.749146,1.058,2.116
ORD34,46.8723922,-68.0044139,46.898092,-67.995989,2.929,5.857
ORD35,46.21796699999999,-64.5610771,46.229623,-64.588182,2.455,4.91
ORD69,46.21796699999999,-64.5610771,46.216442,-64.553034,0.642,1.283
ORD71,46.21796699999999,-64.5610771,46.188115,-64.557703,3.33,6.659
ORD37,46.85968399999999,-68.01617639999999,46.882701,-68.058039,4.084,8.168
ORD38,47.3751177,-68.3055316,47.401869,-68.289886,3.199,6.399
ORD39,46.70027460000001,-68.00742389999999,46.708565,-68.014259,1.059,2.118
ORD41,45.277478,-66.078104,45.270446,-66.097402,1.7,3.401
ORD42,46.1432075,-67.842293,46.140765,-67.846272,0.41,0.819
ORD43,46.7337608,-65.4281997,46.736803,-65.418013,0.847,1.694
ORD65,46.7337608,-65.4281997,46.754323,-65.431695,2.302,4.604
ORD44,45.1235382,-67.351012,45.084886,-67.376858,4.753,9.505
ORD116,45.1235382,-67.351012,45.156524,-67.366036,3.853,7.705
ORD146,45.1235382,-67.351012,45.140994,-67.314825,3.439,6.878
ORD46,44.976623,-63.505503,44.979005,-63.457711,3.769,7.537
ORD49,46.108463,-64.824478,46.094111,-64.822751,1.601,3.203
ORD50,44.9431522,-65.0687293,44.935118,-65.103137,2.852,5.704
ORD58,44.9431522,-65.0687293,44.927121,-65.10855,3.606,7.212
ORD51,45.938516,-66.66214099999999,45.942601,-66.65626,0.643,1.285
ORD52,48.0662428,-66.3728005,48.059056,-66.357251,1.405,2.81
ORD53,46.7720606,-67.8347883,46.784414,-67.845877,1.612,3.225
ORD54,45.988222,-66.629223,45.98956,-66.632899,0.321,0.641
ORD57,45.0730717,-67.0509312,45.068982,-67.044274,0.693,1.386
ORD59,47.000941,-65.5666531,47.010683,-65.573215,1.192,2.384
ORD90,47.000941,-65.5666531,47.011509,-65.61325,3.724,7.447
ORD61,46.112303,-64.775072,46.114606,-64.779446,0.423,0.847
ORD63,45.9846659,-68.4494952,46.010749,-68.488519,4.183,8.366
ORD66,45.956611,-66.65685800000001,45.953832,-66.671568,1.178,2.357
ORD68,47.521172,-64.911751,47.525075,-64.911875,0.434,0.868
ORD70,44.9069441,-66.9968903,44.89647,-66.951156,3.786,7.571
ORD133,44.9069441,-66.9968903,44.899108,-66.965231,2.641,5.283
ORD72,46.9917932,-65.5722985,46.970196,-65.605628,3.487,6.974
ORD73,45.9322857,-65.17509009999999,45.935188,-65.19323,1.439,2.879
ORD129,45.9322857,-65.17509009999999,45.922631,-65.220417,3.666,7.333
ORD74,46.8699144,-68.0046046,46.864755,-67.984963,1.6,3.199
ORD75,47.62754169999999,-65.6847799,47.619293,-65.704381,1.732,3.464
ORD76,45.1376395,-63.35880640000001,45.143586,-63.381694,1.913,3.826
ORD77,46.9149935,-67.83372039999999,46.918388,-67.875275,3.179,6.357
ORD79,46.116841,-64.83407,46.117918,-64.84997,1.231,2.463
ORD82,46.09272,-64.757527,46.086286,-64.742368,1.371,2.741
ORD84,46.7466423,-67.7132112,46.742038,-67.670987,3.258,6.516
ORD110,46.7466423,-67.7132112,46.750522,-67.731092,1.429,2.858
ORD85,45.852139,-66.474214,45.866318,-66.490332,2.011,4.022
ORD91,45.852139,-66.474214,45.873945,-66.468469,2.465,4.93
ORD87,47.2500534,-68.599577,47.271679,-68.586834,2.59,5.18
ORD134,47.2500534,-68.599577,47.27151,-68.582614,2.708,5.415
ORD88,46.1750824,-67.6041304,46.173983,-67.60248,0.176,0.353
ORD103,46.1750824,-67.6041304,46.191216,-67.638668,3.208,6.415
ORD89,45.9677844,-66.6307903,45.954987,-66.615663,1.842,3.684
ORD92,45.31253,-66.02036199999999,45.343832,-66.045173,3.985,7.969
ORD123,45.31253,-66.02036199999999,45.342338,-66.032592,3.45,6.899
ORD97,44.967544,-64.938549,44.974569,-64.941309,0.811,1.622
ORD98,45.391732,-65.969223,45.37761,-66.007674,3.389,6.777
ORD99,45.20426399999999,-67.2745071,45.194379,-67.244252,2.613,5.226
ORD100,47.777976,-64.991968,47.777596,-65.033568,3.109,6.218
ORD101,44.9060969,-68.6909704,44.931316,-68.708232,3.116,6.233
ORD102,46.09416900000001,-64.765811,46.084954,-64.772668,1.153,2.306
ORD105,46.2149106,-64.2695148,46.244733,-64.236236,4.189,8.378
ORD106,45.288915,-66.08182599999999,45.286663,-66.113318,2.476,4.953
ORD108,45.1392771,-63.3496238,45.171938,-63.321368,4.254,8.508
ORD109,47.239189,-65.09532700000001,47.217996,-65.066532,3.206,6.413
ORD126,47.239189,-65.09532700000001,47.216275,-65.122279,3.261,6.522
ORD115,45.954565,-66.645198,45.946589,-66.614533,2.531,5.062
ORD119,45.954565,-66.645198,45.947392,-66.647,0.81,1.619
ORD138,45.954565,-66.645198,45.947518,-66.629722,1.43,2.86
ORD118,45.29865969999999,-66.1968593,45.288063,-66.178765,1.842,3.683
ORD120,47.393669,-68.344015,47.399346,-68.362967,1.56,3.12
ORD121,46.4849207,-63.40414430000001,46.502809,-63.409773,2.035,4.07
ORD122,47.3953153,-68.34141509999999,47.413857,-68.32811,2.292,4.584
ORD124,47.1530633,-67.9302017,47.125197,-67.961612,3.905,7.809
ORD145,47.1530633,-67.9302017,47.152222,-67.931375,0.129,0.258
ORD148,47.1530633,-67.9302017,47.160239,-67.921532,1.033,2.065
ORD125,46.084098,-64.789332,46.087153,-64.813023,1.858,3.717
ORD128,45.3558273,-68.529918,45.347985,-68.552468,1.966,3.932
ORD141,45.3558273,-68.529918,45.325761,-68.536305,3.38,6.761
ORD130,47.7924735,-64.6444577,47.801915,-64.682744,3.046,6.093
ORD131,44.993111,-64.128765,45.019474,-64.151118,3.418,6.836
ORD132,45.276829,-66.05403799999999,45.279782,-66.047914,0.581,1.162
ORD137,45.288304,-66.028791,45.270615,-65.993224,3.408,6.816
ORD139,46.464673,-64.735761,46.456914,-64.690489,3.573,7.147
ORD140,47.6304154,-65.6651717,47.622749,-65.643088,1.862,3.723
ORD142,46.0283938,-65.0326755,45.998649,-65.032273,3.308,6.615
ORD144,45.725971,-65.5321773,45.691904,-65.57186,4.883,9.766
ORD150,45.725971,-65.5321773,45.742267,-65.563776,3.049,6.099
ORD147,45.993063,-66.651268,46.000975,-66.670457,1.724,3.447
